review_month,avg_review_score
0000-00,2.0000
2016-10,4.0455
2016-11,3.1881
2016-12,2.3556
2017-01,4.3276
2017-02,4.2917
2017-03,4.0370
2017-04,4.0413
2017-05,4.1000
2017-06,4.1285
2017-07,4.1855
2017-08,4.2299
2017-09,4.1859
2017-10,4.1832
2017-11,4.1146
2017-12,3.9323
2018-01,4.0664
2018-02,4.0118
2018-03,3.7322
2018-04,3.9212
2018-05,4.1935
2018-06,4.1967
2018-07,4.2891
2018-08,4.2184
